OBJECTID,Geo_UID,Grid_Num,longitude,latitude,Baseline,F_2050,F_2080,Shape_Length,Shape_Area,Mid_Cent,Late_Cent,Shape__Area,Shape__Length
119,34.125-118.3125,17942,-118.3125,34.125,0,0,0,0.25,0.00390625,0,0,58497547.859375,30730.6732922249
120,34.125-118.375,17763,-118.375,34.125,0,0,0,0.25,0.00390625,0,0,58497388.5898438,30730.6275126508
121,34.125-118.4375,17584,-118.4375,34.125,2.1325,-1.11,-1.31,0.25,0.00390625,1.022,0.822,58497229.3398438,30730.5817334831
122,34.125-118.5,17405,-118.5,34.125,0,0,0,0.25,0.00390625,0,0,58497070.0703125,30730.5359521095
123,34.125-118.5625,17226,-118.5625,34.125,0,0,0,0.25,0.00390625,0,0,58496510.4453125,30730.3997898628
124,34.125-118.625,17047,-118.625,34.125,7.8908,-0.29,-0.78,0.25,0.00390625,7.601,7.111,58496546.9921875,30730.4102989484
125,34.125-118.6875,16868,-118.6875,34.125,16.4942,-2.23,-2.09,0.2502878,0.003535616,14.264,14.404,52944868.6367188,30768.7579730285
126,34.125-118.75,16689,-118.75,34.125,33.8058,-4.33,-3.38,0.211529,0.002703449,29.476,30.426,40479892.828125,25554.4930416684
127,34.125-118.8125,16510,-118.8125,34.125,24.0308,-2.71,-2.28,0.2008702,0.002526924,21.321,21.751,37836172.2382813,24213.2553012347
128,34.125-118.875,16331,-118.875,34.125,30.5075,-4.63,-4.23,0.1305772,0.0006736711,25.878,26.278,10085719.6484375,15575.4632483633
129,34.1875-117.6875,19733,-117.6875,34.1875,38.3725,13.12,15.93,0.1740019,0.001456962,51.493,54.303,21835316.1992188,22245.1478099109
130,34.1875-117.75,19554,-117.75,34.1875,41.05,12.52,16.44,0.25,0.00390625,53.57,57.49,58540183.7382813,30742.9606044944
131,34.1875-117.8125,19375,-117.8125,34.1875,36.77,11.3,12.92,0.25,0.00390625,48.07,49.69,58540822.953125,30743.1140319294
132,34.1875-117.875,19196,-117.875,34.1875,31.9942,7.81,7.19,0.25,0.00390625,39.804,39.184,58540729.7734375,30743.0872871496
133,34.1875-117.9375,19017,-117.9375,34.1875,34.465,7.93,10.81,0.25,0.00390625,42.395,45.275,58540637.4023438,30743.0607358572
134,34.1875-118,18838,-118,34.1875,38.045,13.54,18.65,0.25,0.00390625,51.585,56.695,58540545.0351563,30743.0341839725
135,34.1875-118.0625,18659,-118.0625,34.1875,40.1817,13.61,18.56,0.25,0.00390625,53.792,58.742,58540446.8242188,30743.0114742811
136,34.1875-118.125,18480,-118.125,34.1875,27.3308,8.03,7.48,0.25,0.00390625,35.361,34.811,58540564.6445313,30743.0453408889
137,34.1875-118.1875,18301,-118.1875,34.1875,22.0375,7.43,5.02,0.25,0.00390625,29.468,27.058,58540682.453125,30743.0792079449
138,34.1875-118.25,18122,-118.25,34.1875,23.57,-5.33,-5.73,0.25,0.00390625,18.24,17.84,58540801.1054688,30743.1132746506
139,34.1875-118.3125,17943,-118.3125,34.1875,0,0,0,0.25,0.00390625,0,0,58540696.7578125,30743.0874375827
140,34.1875-118.375,17764,-118.375,34.1875,0,0,0,0.25,0.00390625,0,0,58540537.2734375,30743.04159058
141,34.1875-118.4375,17585,-118.4375,34.1875,0,0,0,0.25,0.00390625,0,0,58540377.78125,30742.9957440777
142,34.1875-118.5,17406,-118.5,34.1875,0,0,0,0.25,0.00390625,0,0,58540218.2890625,30742.9498978635
143,34.1875-118.5625,17227,-118.5625,34.1875,0,0,0,0.25,0.00390625,0,0,58539927.7226563,30742.8777736033
144,34.1875-118.625,17048,-118.625,34.1875,0,0,0,0.25,0.00390625,0,0,58539964.328125,30742.8882984661
145,34.1875-118.6875,16869,-118.6875,34.1875,33.1358,-9.5,-10.02,0.2110135,0.002340315,23.636,23.116,35070909.640625,26401.823592694
146,34.25-117.6875,19734,-117.6875,34.25,37.0358,9.93,9.65,0.1967212,0.002353233,46.966,46.686,35292350.3789063,24799.4269740196
147,34.25-117.75,19555,-117.75,34.25,46.3192,14.67,18.54,0.25,0.00390625,60.989,64.859,58582565.6796875,30755.1438346923
148,34.25-117.8125,19376,-117.8125,34.25,46.0217,16.49,19.43,0.25,0.00390625,62.512,65.452,58583155.3515625,30755.283176654
149,34.25-117.875,19197,-117.875,34.25,44.145,15.38,19.39,0.25,0.00390625,59.525,63.535,58583245.3046875,30755.3090736446
150,34.25-117.9375,19018,-117.9375,34.25,44.7617,16.78,20.35,0.25,0.00390625,61.542,65.112,58583336.0742188,30755.335168407
151,34.25-118,18839,-118,34.25,47.29,18.76,24.84,0.25,0.00390625,66.05,72.13,58583426.8476563,30755.3612632467
152,34.25-118.0625,18660,-118.0625,34.25,44.9633,15.28,20.84,0.25,0.00390625,60.243,65.803,58583477.46875,30755.3776541003
153,34.25-118.125,18481,-118.125,34.25,39.4067,12.31,14.5,0.25,0.00390625,51.717,53.907,58583561.5625,30755.4018275535
154,34.25-118.1875,18302,-118.1875,34.25,36.35,7.75,9.75,0.25,0.00390625,44.1,46.1,58583645.6445313,30755.4260010616
155,34.25-118.25,18123,-118.25,34.25,28.0783,3.03,4.23,0.25,0.00390625,31.108,32.308,58583730.578125,30755.4503733785
156,34.25-118.3125,17944,-118.3125,34.25,23.9208,0.8,2.12,0.25,0.00390625,24.721,26.041,58583483.0234375,30755.3922200483
157,34.25-118.375,17765,-118.375,34.25,23.3967,-1.89,-0.34,0.25,0.00390625,21.507,23.057,58583424.84375,30755.375498427
158,34.25-118.4375,17586,-118.4375,34.25,10.0708,-1.5,-1.64,0.25,0.00390625,8.571,8.431,58583366.6757813,30755.3587772864
159,34.25-118.5,17407,-118.5,34.25,0,0,0,0.25,0.00390625,0,0,58583308.5,30755.3420560248
160,34.25-118.5625,17228,-118.5625,34.25,15.1425,-4.95,-4.69,0.25,0.00390625,10.192,10.453,58583212.2929688,30755.3186770508
161,34.25-118.625,17049,-118.625,34.25,20.7317,-2.52,-2.59,0.25,0.00390625,18.212,18.142,58583249.3203125,30755.3293203471
162,34.25-118.6875,16870,-118.6875,34.25,28.4667,3.56,3.57,0.1572772,0.0007260455,32.027,32.037,10889499.0507813,20385.4633504715
163,34.3125-117.6875,19735,-117.6875,34.3125,33.4867,6.99,4.98,0.19849,0.002290034,40.477,38.467,34369332.6523438,25029.6220330495
164,34.3125-117.75,19556,-117.75,34.3125,45.3733,12.74,12.91,0.25,0.00390625,58.113,58.283,58626274.2421875,30767.7043675049
165,34.3125-117.8125,19377,-117.8125,34.3125,41.88,10.73,10.25,0.25,0.00390625,52.61,52.13,58626718.5820313,30767.8091082057
166,34.3125-117.875,19198,-117.875,34.3125,41.8017,11.78,13.79,0.25,0.00390625,53.582,55.592,58626808.6523438,30767.8350425465
167,34.3125-117.9375,19019,-117.9375,34.3125,46.4142,14.83,15.99,0.25,0.00390625,61.244,62.404,58626899.5664063,30767.8611759909
168,34.3125-118,18840,-118,34.3125,46.1242,15.23,17.83,0.25,0.00390625,61.354,63.954,58626990.4765625,30767.8873095117
169,34.3125-118.0625,18661,-118.0625,34.3125,44.3525,13.71,16.55,0.25,0.00390625,58.063,60.903,58627066.2773438,30767.9096902329
170,34.3125-118.125,18482,-118.125,34.3125,38.5817,8.71,10.92,0.25,0.00390625,47.292,49.502,58627150.5,30767.9338996006
171,34.3125-118.1875,18303,-118.1875,34.3125,39.2217,9.24,12.33,0.25,0.00390625,48.462,51.552,58627234.7109375,30767.9581090149
172,34.3125-118.25,18124,-118.25,34.3125,37.88,7.94,12.79,0.25,0.00390625,45.82,50.67,58627319.765625,30767.9825172949
173,34.3125-118.3125,17945,-118.3125,34.3125,35.305,6.03,10.69,0.25,0.00390625,41.335,45.995,58627107.671875,30767.9328302098
174,34.3125-118.375,17766,-118.375,34.3125,27.93,4.16,5.15,0.25,0.00390625,32.09,33.08,58627049.421875,30767.9160842046
175,34.3125-118.4375,17587,-118.4375,34.3125,19.6092,4.1,3.23,0.25,0.00390625,23.709,22.839,58626991.15625,30767.8993382228
176,34.3125-118.5,17408,-118.5,34.3125,15.865,0.7,-0.13,0.25,0.00390625,16.565,15.735,58626932.90625,30767.8825922355
177,34.3125-118.5625,17229,-118.5625,34.3125,13.4733,-2.83,-3.19,0.25,0.00390625,10.643,10.283,58626854.2539063,30767.8633947128
178,34.3125-118.625,17050,-118.625,34.3125,20.9983,0.56,1.68,0.25,0.00390625,21.558,22.678,58626891.3242188,30767.8740538421
179,34.3125-118.6875,16871,-118.6875,34.3125,26.1033,1.85,0.77,0.206705,0.002330401,27.953,26.873,34977524.2578125,25821.0470747489
180,34.375-117.6875,19736,-117.6875,34.375,41.0408,9.46,9.34,0.1882315,0.001969434,50.501,50.381,29579753.78125,23900.2165005589
181,34.375-117.75,19557,-117.75,34.375,39.7667,8.41,8.43,0.25,0.00390625,48.177,48.197,58670118.6640625,30780.3039202897
182,34.375-117.8125,19378,-117.8125,34.375,42.2475,10.96,11.12,0.25,0.00390625,53.208,53.368,58670417.4648438,30780.3740591617
183,34.375-117.875,19199,-117.875,34.375,41.3083,8.62,7.56,0.25,0.00390625,49.928,48.868,58670507.6601563,30780.4000314912
184,34.375-117.9375,19020,-117.9375,34.375,39.8983,11.63,9.43,0.25,0.00390625,51.528,49.328,58670598.7109375,30780.4262038091
185,34.375-118,18841,-118,34.375,39.34,9.3,9.93,0.25,0.00390625,48.64,49.27,58670689.75,30780.4523762225
186,34.375-118.0625,18662,-118.0625,34.375,37.6042,8.62,8.63,0.25,0.00390625,46.224,46.234,58670790.7734375,30780.4807469718
187,34.375-118.125,18483,-118.125,34.375,37.02,5.79,5.73,0.25,0.00390625,42.81,42.75,58670875.1132813,30780.5049923869
188,34.375-118.1875,18304,-118.1875,34.375,35.9183,5.58,7.27,0.25,0.00390625,41.498,43.188,58670959.453125,30780.5292378676
189,34.375-118.25,18125,-118.25,34.375,36.7233,5.95,6.01,0.25,0.00390625,42.673,42.733,58671044.640625,30780.55368241
190,34.375-118.3125,17946,-118.3125,34.375,34.2808,7.66,7.9,0.25,0.00390625,41.941,42.181,58670868.0742188,30780.512461909
191,34.375-118.375,17767,-118.375,34.375,31.4717,7.53,5.77,0.25,0.00390625,39.002,37.242,58670809.7304688,30780.4956909374
192,34.375-118.4375,17588,-118.4375,34.375,18.9492,0.92,-0.36,0.25,0.00390625,19.869,18.589,58670751.3828125,30780.4789200041
193,34.375-118.5,17409,-118.5,34.375,15.8108,-3.99,-5.15,0.25,0.00390625,11.821,10.661,58670693.0429688,30780.4621491472
194,34.375-118.5625,17230,-118.5625,34.375,0,0,0,0.25,0.00390625,0,0,58670631.9765625,30780.4471330461
195,34.375-118.625,17051,-118.625,34.375,23.79,-9.22,-9.57,0.25,0.00390625,14.57,14.22,58670669.1054688,30780.4578080768
196,34.375-118.6875,16872,-118.6875,34.375,30.625,11.49,11.54,0.2424242,0.003807089,42.115,42.165,57181769.6367188,29896.0738047471
197,34.375-118.75,16693,-118.75,34.375,24.375,4.07,2.37,0.1105327,0.0004422311,28.445,26.745,6643537.55078125,14221.0703920057
198,34.4375-117.6875,19737,-117.6875,34.4375,29.5008,5.31,4.11,0.1813876,0.001735066,34.811,33.611,26079422.9960938,23154.1137654314
199,34.4375-117.75,19558,-117.75,34.4375,28.4225,4.78,3.64,0.25,0.00390625,33.203,32.063,58714096.8164063,30792.9418817301
200,34.4375-117.8125,19379,-117.8125,34.4375,29.0958,4.7,3.75,0.25,0.00390625,33.796,32.846,58714249.84375,30792.977418269
201,34.4375-117.875,19200,-117.875,34.4375,35.8,10.68,10.51,0.25,0.00390625,46.48,46.31,58714340.1796875,30793.0034292218
202,34.4375-117.9375,19021,-117.9375,34.4375,29.4375,10.15,7.48,0.25,0.00390625,39.588,36.918,58714431.359375,30793.0296405785
203,34.4375-118,18842,-118,34.4375,29.4692,4.85,5.01,0.25,0.00390625,34.319,34.479,58714522.5390625,30793.0558520455
204,34.4375-118.0625,18663,-118.0625,34.4375,29.1933,4.85,3.65,0.25,0.00390625,34.043,32.843,58714648.8203125,30793.0902129428
205,34.4375-118.125,18484,-118.125,34.4375,31.2525,9.81,8.74,0.25,0.00390625,41.063,39.993,58714733.2929688,30793.1144945957
